Time_Stamp,cpu,mem,Directory_Size,CPUtemperature
2016-09-30 19:54:21,161146.640625,1222012928,19175259,
2016-09-30 19:59:19,161734.78125,1223852032,19866287,
2016-09-30 20:04:19,162342.421875,1229029376,20524571,
2016-09-30 20:09:19,162950.25,1231368192,21208723,
2016-09-30 20:14:19,163558.625,1234862080,21909651,
2016-09-30 20:19:19,164191.09375,1230385152,22590789,
2016-09-30 20:24:21,164802.265625,1234681856,16407191,
2016-09-30 20:29:21,165412.4375,1222983680,17245571,
2016-09-30 20:34:21,166021.765625,1224556544,18036985,
2016-09-30 20:39:21,166627.1875,1222111232,18869873,
2016-09-30 20:44:20,167234.8125,1224257536,19644827,
2016-09-30 20:49:21,167850.28125,1224617984,20389827,
2016-09-30 20:54:21,168457.65625,1225342976,21074331,
2016-09-30 20:59:20,169038.96875,1232166912,21739799,
2016-09-30 21:04:20,169671.796875,1231388672,22475860,
2016-09-30 21:09:21,170281.375,1237839872,23232188,
2016-09-30 21:14:21,170890.78125,1231777792,24023118,
2016-09-30 21:19:20,171495.625,1246736384,24701116,
2016-09-30 21:24:20,172105.59375,1235787776,25459614,
2016-09-30 21:29:21,172716.21875,1241395200,17438549,
2016-09-30 21:34:20,173314.5,1240813568,18098743,
2016-09-30 21:39:20,173925.96875,1223749632,18786452,
2016-09-30 21:44:20,174522.453125,1223380992,19635622,
2016-09-30 21:49:21,175144.109375,1223483392,20354230,
2016-09-30 21:54:21,175756.109375,1224728576,21016087,
2016-09-30 21:59:20,176342.390625,1228890112,21764468,
2016-09-30 22:04:21,176975.234375,1235689472,22531200,
2016-09-30 22:09:20,177557.09375,1230188544,23207052,
2016-09-30 22:14:20,178174.125,1236459520,18401021,
2016-09-30 22:19:20,178780.703125,1224081408,19149567,
2016-09-30 22:24:21,179406.890625,1226055680,19954645,
2016-09-30 22:29:19,179990.265625,1224491008,20629923,
2016-09-30 22:34:19,180598.203125,1226289152,21285695,
2016-09-30 22:39:19,181206.28125,1225842688,21978621,
2016-09-30 22:44:20,181833.3125,1229336576,22676769,
2016-09-30 22:49:20,182449.140625,1236414464,18931733,
2016-09-30 22:54:20,183036.390625,1220907008,19591444,
2016-09-30 22:59:19,183642.328125,1223274496,20451305,
2016-09-30 23:04:21,184276.96875,1224966144,21271591,
2016-09-30 23:09:21,184881.828125,1225654272,21974251,
2016-09-30 23:14:19,185466.796875,1228115968,22684509,
2016-09-30 23:19:20,186075.5625,1229619200,23323782,
2016-09-30 23:24:19,186684.09375,1231785984,19692719,
2016-09-30 23:29:19,187292.890625,1222529024,20372107,
2016-09-30 23:34:21,187926.0625,1224589312,21175282,
2016-09-30 23:39:19,188516.203125,1225109504,21884847,
2016-09-30 23:44:20,189120.53125,1228017664,22702447,
2016-09-30 23:49:21,189752.4375,1230307328,23569110,
2016-09-30 23:54:20,190351.203125,1230241792,24297307,
2016-09-30 23:59:20,190948.171875,1238016000,25014219,
2016-10-01 00:04:21,191580.421875,1233195008,21447128,
2016-10-01 00:09:20,192166.6875,1233096704,20913785,
2016-10-01 00:14:19,192769.921875,1224392704,21646436,
2016-10-01 00:19:19,193378.75,1227739136,22413816,
2016-10-01 00:24:19,193987.421875,1228124160,23193397,
2016-10-01 00:29:19,194610.640625,1228410880,23946642,
2016-10-01 00:34:20,195206.484375,1230647296,24609150,
2016-10-01 00:39:20,195821.078125,1238290432,25295872,
2016-10-01 00:44:20,196428.515625,1232809984,26057163,
2016-10-01 00:49:20,197042.25,1237245952,21230317,
2016-10-01 00:54:21,197677.8125,1225150464,22040227,
2016-10-01 00:59:22,198281.28125,1226416128,22769817,
2016-10-01 01:04:21,198885.59375,1228595200,23516378,
2016-10-01 01:09:21,199490.75,1228972032,24217374,
2016-10-01 01:14:21,200111.015625,1230712832,24890386,
