Time_Stamp,CPU_Usage,Ram_Usage,DataDir_DirectorySize,CPUtemperature
2016-09-30 04:18:01,29.7,18.3,12964111,61.2
2016-09-30 04:20:01,29.9,18.3,12996700,70.9
2016-09-30 04:22:01,29.8,18.3,13047068,62.3
2016-09-30 04:24:01,29.8,18.2,13079657,61.8
2016-09-30 04:26:02,29.7,18.3,13124094,60.7
2016-09-30 04:28:01,29.6,18.3,13165569,60.7
2016-09-30 04:30:01,29.5,18.3,13192234,60.1
2016-09-30 04:32:01,29.5,18.1,13245564,60.7
2016-09-30 04:34:01,29.4,17.5,13292963,60.7
2016-09-30 04:36:01,29.3,17.8,13322590,60.7
2016-09-30 04:38:01,29.3,17.7,13361103,60.7
2016-09-30 04:40:01,29.2,17.7,13390730,60.1
2016-09-30 04:42:01,29.1,17.7,13408509,61.2
2016-09-30 04:44:01,29.1,17.7,13447021,60.1
2016-09-30 04:46:01,29.0,17.7,13464793,60.7
2016-09-30 04:48:02,28.9,17.7,13503306,60.7
2016-09-30 04:50:01,28.9,17.6,13521085,60.1
2016-09-30 04:52:01,28.8,17.5,13559598,60.1
2016-09-30 04:54:02,28.7,17.8,13577377,60.7
2016-09-30 04:56:01,28.7,18.2,13601073,60.1
2016-09-30 04:58:01,28.6,18.2,13645517,60.1
2016-09-30 05:00:02,28.6,18.2,13686992,60.1
2016-09-30 05:02:01,28.5,17.1,13731429,60.1
2016-09-30 05:04:01,28.5,17.3,13781797,60.1
2016-09-30 05:06:01,28.4,17.6,13799576,60.1
2016-09-30 05:08:01,28.3,17.6,13829196,60.1
2016-09-30 05:10:02,28.3,17.7,13852899,60.1
2016-09-30 05:12:01,28.3,17.7,13888450,60.1
2016-09-30 05:14:01,28.2,17.7,13921039,60.1
2016-09-30 05:16:02,28.2,17.7,13962514,60.7
2016-09-30 05:18:01,28.1,17.8,14006958,60.7
2016-09-30 05:20:01,28.1,17.7,14042509,60.1
2016-09-30 05:22:01,28.0,18.2,14066212,60.7
2016-09-30 05:24:01,28.3,18.2,14110649,64.5
2016-09-30 05:26:02,28.2,18.2,14143238,60.7
2016-09-30 05:28:01,28.1,18.2,14158048,60.7
2016-09-30 05:30:01,28.1,17.5,14193606,60.1
2016-09-30 05:32:02,28.0,17.4,14226195,60.1
2016-09-30 05:34:01,28.0,17.4,14252853,59.6
2016-09-30 05:36:01,28.1,17.8,14282480,68.8
2016-09-30 05:38:02,28.3,18.2,14320993,62.3
2016-09-30 05:40:01,28.2,18.3,14365437,61.2
2016-09-30 05:42:01,28.2,18.3,14389133,60.7
2016-09-30 05:44:02,28.1,17.9,14421722,60.7
2016-09-30 05:46:01,28.4,18.1,14466166,63.4
2016-09-30 05:48:01,28.4,18.3,14486900,60.7
2016-09-30 05:50:01,28.3,18.3,14516527,61.2
2016-09-30 05:52:01,28.3,18.3,14540230,60.1
2016-09-30 05:54:02,28.2,18.3,14569857,60.7
2016-09-30 05:56:01,28.2,18.3,14581705,60.7
2016-09-30 05:58:01,28.1,18.4,14614294,60.1
2016-09-30 06:00:02,28.1,18.4,14640959,60.1
2016-09-30 06:02:01,28.0,18.5,14670586,60.1
2016-09-30 06:04:01,28.0,18.4,14694289,60.1
2016-09-30 06:06:02,27.9,18.4,14732802,59.6
2016-09-30 06:08:01,27.9,18.5,14783170,60.1
2016-09-30 06:10:01,27.8,17.5,14803904,59.1
2016-09-30 06:12:01,27.8,17.4,14824645,60.1
2016-09-30 06:14:01,27.7,17.2,14845379,60.1
2016-09-30 06:16:02,28.0,17.8,14880937,62.3
2016-09-30 06:18:01,27.9,17.9,14916488,61.2
2016-09-30 06:20:01,27.8,18.0,14934260,60.1
2016-09-30 06:22:01,27.8,17.6,14955001,60.7
2016-09-30 06:24:01,27.7,17.6,14972773,60.1
2016-09-30 06:26:02,27.7,17.6,15002400,60.7
2016-09-30 06:28:01,27.6,17.5,15034989,60.1
2016-09-30 06:30:01,27.6,17.7,15082395,60.7
2016-09-30 06:32:02,27.6,17.7,15117946,60.1
2016-09-30 06:34:01,27.5,18.2,15144611,60.1
2016-09-30 06:36:01,27.5,18.4,15177198,60.7
2016-09-30 06:38:01,27.4,18.4,15203856,60.1
2016-09-30 06:40:01,27.4,18.4,15224597,59.6
2016-09-30 06:42:02,27.3,17.3,15236445,59.1
